longitude,latitude,target_no,target_name,type,subtype,dimensions_ft,depth_ft,material,target_description,css_surveyed,css_survey_date,css_dimensions,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_url,sc_notes,sc_newly_uncovered,sc_rov_dive_duration,sc_rov_dive_date,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
-122.3298851,47.6363333,LU071,Unknown,Unknown,Hard Return - Poor Image far Under Dock,TBD,40,Unknown,NA,No,NA,9' x 5',No,Hard Return - Poor Image far Under Dock,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU71,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Terry Pettus Park
-122.333441,47.6364877,LU072,Unknown,Unknown,Unknown Debris Item with Cable. Looks like two small boats on Lowrance Data - Better angle.,9' x 5',40,Unknown,NA,Yes,NA,12',No,Unknown Debris Item with Cable. Looks like two small boats on Lowrance Data - Better angle.,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU72,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3339546,47.6370577,LU073,Unknown,Unknown,Unknown Debris Item. Possible small Boat.,12',40,Unknown,NA,Yes,NA,35',No,Unknown Debris Item. Possible small Boat.,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU73,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3315968,47.6384343,LU074,Unknown,Shipwreck,Bulwarks Boat,35',4.5,Unknown,NA,Yes,NA,TBD,Yes,Bulwarks Boat,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU74,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Flo Villa Houseboat Pier ?
-122.3340273,47.6393933,LU075,Unknown,Unknown,TBD,TBD,40,Unknown,NA,Yes - Need HR Scan,NA,24' x 8',No,TBD,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU75,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3327699,47.6401027,LU076,Unknown,Shipwreck,Shipwreck,24' x 8',40,Unknown,NA,Yes,NA,25' x 4',No,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU76,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3329749,47.6401985,LU077,NA,Infrastructure,Dock Section,25' x 4',40,Unknown,NA,Yes,NA,35',No,Dock Section,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU77,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3322915,47.6402997,LU078,Betty W.,Shipwreck,35' sailing vessel,35',40,Unknown,NA,Yes,NA,NA,Yes,35' sailing vessel,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU78,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3324875,47.6423027,LU079,NA,Unknown,Unknown Debris Item - possibly near net or tarp in mud.,NA,40,Unknown,NA,Yes,NA,NA,No,Unknown Debris Item - possibly near net or tarp in mud.,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU79,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
-122.3322265,47.642335,LU080,NA,Unknown,Unknown Debris Items with Elevation,NA,40,Unknown,NA,Yes,NA,TBD,No,Unknown Debris Items with Elevation,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU80,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,No Footage,No Footage,Boat
